Initial conditions [N0,M0,E0,B0] = [3.000e+09,9.000e+07,9.000e+07,2.000e+11] with main parameters used to perturb with sigma = 5.00e-02: rN = 1.60e-01,rMmax = 4.14e-01,rMmin = 2.14e-02,tau = 1.88e+01,kN = 2.50e+11,kM = 7.98e+10,mu = 4.81e-01,rB = 6.50e-02, rEff0 = 2.26e+00, alpha_1 = 4.29e+00, alpha_2 = 1.35e+00 ,Gamma_E = 3.00e-12,Gamma_B = 6.00e-11, stochastic threshold = 100
time to event	progression or cure?	params
102.7243576976213	cure	[0.157904, 0.416861, 0.0223423, 19.254, 2.33078e11, 7.77106e10, 0.470996, 0.067476, 2.35369, 4.47715, 1.43754, 2.72643e-12, 6.18139e-11]
17.169392319383178	cure	[0.153441, 0.429965, 0.0216293, 18.7883, 2.4855e11, 8.40705e10, 0.477352, 0.0610875, 2.28105, 4.29769, 1.40798, 2.98383e-12, 5.75603e-11]
27.98024872031102	cure	[0.156528, 0.406329, 0.0220478, 18.8498, 2.56945e11, 8.45495e10, 0.484735, 0.0622713, 2.28099, 4.42646, 1.44977, 2.81179e-12, 6.36618e-11]
40.28302223819041	cure	[0.165554, 0.423052, 0.0213811, 18.5004, 2.50394e11, 8.31152e10, 0.454581, 0.0636447, 2.31813, 4.30984, 1.36402, 3.09986e-12, 6.52184e-11]
70.08626453516294	cure	[0.156278, 0.399033, 0.0208234, 20.2158, 2.51111e11, 8.46534e10, 0.482393, 0.0674521, 2.28764, 4.39816, 1.34456, 3.06964e-12, 5.95875e-11]
466.3222902617554	progression	[0.161466, 0.400285, 0.0222594, 18.9962, 2.52268e11, 8.38921e10, 0.459473, 0.0658435, 2.30138, 4.26704, 1.39891, 3.05099e-12, 5.65956e-11]
197.54229339783856	progression	[0.181524, 0.397148, 0.0221224, 18.2348, 2.73137e11, 7.781e10, 0.500747, 0.0650293, 2.21704, 4.28353, 1.3274, 2.97876e-12, 6.1474e-11]
343.0285405684852	progression	[0.17049, 0.423406, 0.0215001, 18.0532, 2.60096e11, 8.03768e10, 0.51062, 0.0640088, 2.06878, 4.1225, 1.31674, 3.20114e-12, 6.50081e-11]
38.55079977314548	cure	[0.156007, 0.390401, 0.0200903, 17.9542, 2.3104e11, 8.35571e10, 0.505467, 0.0672871, 2.06301, 4.02761, 1.39433, 2.93664e-12, 6.2275e-11]
403.7661118336967	progression	[0.169443, 0.39746, 0.0230598, 18.4312, 2.47063e11, 8.46546e10, 0.496444, 0.0631904, 2.12607, 4.00329, 1.23451, 2.99657e-12, 6.07375e-11]
410.6034655103395	progression	[0.16649, 0.390541, 0.023067, 17.9713, 2.50491e11, 8.38055e10, 0.466131, 0.0642057, 2.18427, 3.99406, 1.24475, 3.01647e-12, 5.74065e-11]
255.23171697874255	progression	[0.175473, 0.389277, 0.0217957, 19.7926, 2.43614e11, 8.00348e10, 0.436207, 0.0745883, 2.26007, 4.26756, 1.38543, 2.80084e-12, 5.95931e-11]
537.9495701749851	progression	[0.152857, 0.376433, 0.0202038, 18.1226, 2.40915e11, 7.80776e10, 0.475821, 0.0596406, 2.1939, 3.9491, 1.36187, 3.00159e-12, 6.20749e-11]
414.6317152561327	progression	[0.168458, 0.418901, 0.0211417, 18.0718, 2.48675e11, 8.04661e10, 0.47655, 0.0659785, 2.20158, 4.24874, 1.31557, 3.06065e-12, 6.2171e-11]
303.9489471976399	progression	[0.159112, 0.399884, 0.0232308, 18.0065, 2.5587e11, 7.37277e10, 0.498069, 0.0638155, 2.31585, 4.28873, 1.46846, 3.19918e-12, 5.69671e-11]
315.7126282599672	progression	[0.165163, 0.424989, 0.0210884, 20.1884, 2.43161e11, 7.39916e10, 0.456207, 0.0672265, 2.19572, 3.99058, 1.4751, 2.92309e-12, 6.18353e-11]
278.79004819489563	progression	[0.158836, 0.398666, 0.0218296, 19.2267, 2.82547e11, 7.81154e10, 0.488716, 0.0674531, 2.25922, 4.60042, 1.2814, 2.87032e-12, 5.84509e-11]
16.023072354551672	cure	[0.160919, 0.437373, 0.0212479, 17.3684, 2.51843e11, 8.67413e10, 0.456693, 0.0665244, 2.20086, 4.16042, 1.32046, 2.68784e-12, 6.11305e-11]
